picture_id,mid_year,cluster_id,cluster_rank
308396,1847,26,1
308396,1847,14,2
308396,1847,3,3
308396,1847,99,4
308395,1838,64,1
308395,1838,50,2
308395,1838,53,3
308395,1838,5,4
308399,1799,44,1
308399,1799,91,2
308399,1799,11,3
308399,1799,79,4
308398,1786,53,1
308398,1786,26,2
308398,1786,45,3
308398,1786,62,4
25691,1793,63,1
25691,1793,51,2
25691,1793,80,3
25691,1793,17,4
199,1869,11,1
199,1869,71,2
199,1869,69,3
199,1869,48,4
194,1872,48,1
194,1872,8,2
194,1872,90,3
194,1872,72,4
197,1874,48,1
197,1874,89,2
197,1874,90,3
197,1874,71,4
196,1862,59,1
196,1862,71,2
196,1862,90,3
196,1862,84,4
191,1870,48,1
191,1870,94,2
191,1870,8,3
191,1870,101,4
190,1872,78,1
190,1872,16,2
190,1872,51,3
190,1872,23,4
193,1817,6,1
193,1817,3,2
193,1817,0,3
193,1817,53,4
192,1871,48,1
192,1871,94,2
192,1871,55,3
